epoch, loss, acc, val_loss, val_acc
1, 0.46806949377059937, 0.8344500064849854, 0.36141204833984375, 0.8708000183105469
2, 0.3358590304851532, 0.8801833391189575, 0.31025901436805725, 0.888700008392334
3, 0.30115172266960144, 0.8911499977111816, 0.2850099503993988, 0.8966000080108643
4, 0.27379634976387024, 0.9011499881744385, 0.2744639813899994, 0.9007999897003174
5, 0.2562302052974701, 0.9063166379928589, 0.26706641912460327, 0.9031000137329102
6, 0.24010442197322845, 0.9119333624839783, 0.25309160351753235, 0.9074000120162964
7, 0.22846627235412598, 0.915316641330719, 0.24602524936199188, 0.9114999771118164
8, 0.2147703319787979, 0.9199666380882263, 0.25263944268226624, 0.907800018787384
9, 0.20073336362838745, 0.9258333444595337, 0.23778535425662994, 0.9156000018119812
10, 0.1936710774898529, 0.9278166890144348, 0.22879807651042938, 0.9180999994277954
